country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Thailand,THA,2015,Asia,0.326539837739462,0.5243379069141044,0.2768190683256632,0.103,0.7605017311940033,36.0,3.9282057
Thailand,THA,2020,Asia,0.39804871079014315,0.5819662724380033,0.3201726036754808,0.175,0.7698832201173631,35.0,3.7956123
Ukraine,UKR,1995,Europe,0.398174318533231,0.305308953175024,0.44110438364777244,0.341,0.5473406314290188,39.2,7.55191
Ukraine,UKR,2005,Europe,0.4164557060884044,0.3234180574898157,0.5240394470038445,0.293,0.6057304463282375,29.0,6.588396
Ukraine,UKR,2010,Europe,0.4277554675806218,0.3613937806843074,0.5386103790853257,0.281,0.6120974430086075,24.8,6.3364434
Ukraine,UKR,2015,Europe,0.41184861197672223,0.4140495995948431,0.5208865969747565,0.223,0.5982049630880714,25.5,4.889162
Ukraine,UKR,2020,Europe,0.44371985512128453,0.3963416546288418,0.5004201166798627,0.318,0.614615986250566,25.6,4.635197
United Kingdom,GBR,1990,Europe,0.6532977569971294,0.4667129398127777,0.625106403376183,0.753,0.82917443302463,35.7,10.4927225
United Kingdom,GBR,1995,Europe,0.6795274362389152,0.4906372410986137,0.685277103965299,0.755,0.8399516781905625,35.5,9.735405
United Kingdom,GBR,2000,Europe,0.7239821742655643,0.5288499801161237,0.7571980007426836,0.795,0.8629833431335755,38.9,9.635275
United Kingdom,GBR,2005,Europe,0.7513676710847359,0.5752707644813109,0.7798838930407576,0.806,0.8813993443045843,35.5,9.412128
