year,row_variable,row_label,col_variable,col_label,correlation,abs_correlation
1995,schooling,Educación,ahdi,AHDI,0.8885901685903312,0.8885901685903312
1995,schooling,Educación,life_exp,Esperanza de vida,0.7569802047492807,0.7569802047492807
1995,schooling,Educación,schooling,Educación,1.0,1.0
1995,schooling,Educación,democracy,Democracia,0.6625223025832705,0.6625223025832705
1995,schooling,Educación,gdp,PIB per cápita,0.8020057461046503,0.8020057461046503
1995,schooling,Educación,gini,Desigualdad (Gini),-0.5938861614129123,0.5938861614129123
1995,schooling,Educación,co2_per_capita,CO₂ per cápita,0.846969633919249,0.846969633919249
1995,democracy,Democracia,ahdi,AHDI,0.9109455300685988,0.9109455300685988
1995,democracy,Democracia,life_exp,Esperanza de vida,0.8220061843105221,0.8220061843105221
1995,democracy,Democracia,schooling,Educación,0.6625223025832705,0.6625223025832705
1995,democracy,Democracia,democracy,Democracia,1.0,1.0
1995,democracy,Democracia,gdp,PIB per cápita,0.8396095559293864,0.8396095559293864
1995,democracy,Democracia,gini,Desigualdad (Gini),-0.46519733894539317,0.46519733894539317
1995,democracy,Democracia,co2_per_capita,CO₂ per cápita,0.6248412918809094,0.6248412918809094
1995,gdp,PIB per cápita,ahdi,AHDI,0.9495290405667619,0.9495290405667619
1995,gdp,PIB per cápita,life_exp,Esperanza de vida,0.949981678583217,0.949981678583217
1995,gdp,PIB per cápita,schooling,Educación,0.8020057461046503,0.8020057461046503
1995,gdp,PIB per cápita,democracy,Democracia,0.8396095559293864,0.8396095559293864
1995,gdp,PIB per cápita,gdp,PIB per cápita,1.0,1.0
1995,gdp,PIB per cápita,gini,Desigualdad (Gini),-0.45982467110179465,0.45982467110179465
1995,gdp,PIB per cápita,co2_per_capita,CO₂ per cápita,0.7453234744309579,0.7453234744309579
1995,gini,Desigualdad (Gini),ahdi,AHDI,-0.5691102715786018,0.5691102715786018
1995,gini,Desigualdad (Gini),life_exp,Esperanza de vida,-0.51107834114243,0.51107834114243
1995,gini,Desigualdad (Gini),schooling,Educación,-0.5938861614129123,0.5938861614129123
1995,gini,Desigualdad (Gini),democracy,Democracia,-0.46519733894539317,0.46519733894539317
1995,gini,Desigualdad (Gini),gdp,PIB per cápita,-0.45982467110179465,0.45982467110179465
1995,gini,Desigualdad (Gini),gini,Desigualdad (Gini),1.0,1.0
1995,gini,Desigualdad (Gini),co2_per_capita,CO₂ per cápita,-0.6426893037305612,0.6426893037305612
1995,co2_per_capita,CO₂ per cápita,ahdi,AHDI,0.8002234463141001,0.8002234463141001
1995,co2_per_capita,CO₂ per cápita,life_exp,Esperanza de vida,0.7165247209013689,0.7165247209013689
1995,co2_per_capita,CO₂ per cápita,schooling,Educación,0.846969633919249,0.846969633919249
1995,co2_per_capita,CO₂ per cápita,democracy,Democracia,0.6248412918809094,0.6248412918809094
1995,co2_per_capita,CO₂ per cápita,gdp,PIB per cápita,0.7453234744309579,0.7453234744309579
1995,co2_per_capita,CO₂ per cápita,gini,Desigualdad (Gini),-0.6426893037305612,0.6426893037305612
1995,co2_per_capita,CO₂ per cápita,co2_per_capita,CO₂ per cápita,1.0,1.0
2000,ahdi,AHDI,ahdi,AHDI,1.0,1.0
2000,ahdi,AHDI,life_exp,Esperanza de vida,0.9118100133571546,0.9118100133571546
2000,ahdi,AHDI,schooling,Educación,0.9226967547668657,0.9226967547668657
2000,ahdi,AHDI,democracy,Democracia,0.9064513914413234,0.9064513914413234
2000,ahdi,AHDI,gdp,PIB per cápita,0.9445710569574428,0.9445710569574428
2000,ahdi,AHDI,gini,Desigualdad (Gini),-0.5393246426145801,0.5393246426145801
2000,ahdi,AHDI,co2_per_capita,CO₂ per cápita,0.7728943309265738,0.7728943309265738
2000,life_exp,Esperanza de vida,ahdi,AHDI,0.9118100133571546,0.9118100133571546
2000,life_exp,Esperanza de vida,life_exp,Esperanza de vida,1.0,1.0
2000,life_exp,Esperanza de vida,schooling,Educación,0.7822146717419732,0.7822146717419732
2000,life_exp,Esperanza de vida,democracy,Democracia,0.7586745916801512,0.7586745916801512
2000,life_exp,Esperanza de vida,gdp,PIB per cápita,0.8907416404852866,0.8907416404852866
